,bill_id,chamber,created_at,id,session,state,subjects,title,type,updated_at
123,HB 591,lower,2015-01-27 05:39:49,HIB00018019,2015 Regular Session,HI,Other,RELATING TO CLIMATE CHANGE.,bill,2015-03-05 05:57:21
124,SR 6,upper,2015-02-21 00:39:23,VTB00004970,2015-2016,VT,,Senate resolution relating to climate change,resolution,2015-02-21 00:39:23
125,SR 1711,upper,2015-02-13 00:38:22,KSB00003534,2015-2016,KS,,"Endorsing the twenty-sixth anniversary of sister state relations with the Republic of China (Taiwan), Taiwan's participation in the Trans-Pacific Partnership (TOO) and the United Nations Framework Convention on Climate Change (UNFCCC) and Taiwan's participation as an observer in the International Civil Aviation Organization (ICAO).",resolution,2015-02-21 00:47:57
126,S 13,upper,2015-02-18 00:20:22,MAB00013636,189th,MA,,"A report of the Senate Committee on Global Warming and Climate Change entitled: NO TIME TO WASTE: Our climate clock is ticking and our natural resources, public health and the future of our economy are at stake",bill,2015-04-29 02:23:43
127,H 176,lower,2015-02-11 00:31:15,VTB00004847,2015-2016,VT,,An act relating to inclusion of information about climate change in driver education curriculum,bill,2015-04-15 13:50:19
128,HB 1502,lower,2015-01-31 06:01:47,HIB00019839,2015 Regular Session,HI,,RELATING TO CLIMATE CHANGE.,bill,2015-02-13 23:21:19
129,H 3517,lower,2015-02-05 01:04:46,SCB00008762,2015-2016,SC,,"A HOUSE RESOLUTION TO COMMEND AND SUPPORT TAIWAN'S DEMOCRATIC SYSTEM OF GOVERNMENT, ITS CLOSE RELATIONSHIP WITH THE UNITED STATES, AND THE NATION'S MEANINGFUL PARTICIPATION IN THE WORLD HEALTH ORGANIZATION, THE INTERNATIONAL CIVIL AVIATION ORGANIZATION, AND THE UNITED NATIONS FRAMEWORK CONVENTION ON CLIMATE CHANGE, AS WELL AS OTHER INTERNATIONAL ORGANIZATIONS, AND TO EXTEND THEIR MOST SINCERE BEST WISHES FOR CONTINUED COOPERATION AND SUCCESS.",resolution,2016-08-31 07:33:03
130,SB 882,upper,2015-01-27 06:03:53,HIB00018735,2015 Regular Session,HI,,RELATING TO CLIMATE CHANGE.,bill,2015-06-05 05:15:04
131,SB 1217,upper,2014-02-25 00:35:32,CAB00014336,20132014,CA,,Climate change: preparedness.,bill; fiscal committee,2014-08-20 08:04:21
132,S 2028,upper,2014-03-06 04:43:09,MAB00012836,188th,MA,,An Act providing for the establishment of a comprehensive adaptation management plan in response to climate change,bill,2014-08-05 04:23:34
133,HB 7904,lower,2014-03-11 23:57:32,RIB00006433,2014,RI,State Agencies; Health,AN ACT RELATING TO STATE AFFAIRS AND GOVERNMENT - CLIMATE CHANGE - RESILIENT RHODE ISLAND ACT OF 2014 (Creates the Resilient Rhode Island and Climate Change Mitigation and Adaption Acts to provide a comprehensive and coordinated state response to climate change.),bill,2014-07-12 00:25:45
134,SB 2952,upper,2014-05-02 00:55:03,RIB00006852,2014,RI,State Agencies,AN ACT RELATING TO STATE AFFAIRS AND GOVERNMENT -- CLIMATE CHANGE (This act would repeal the Rhode Island climate change commission and would create a climate change council in the executive department. It would suggest the impacts of climate change be taken into consideration by department directors.),bill,2014-07-09 00:28:39
135,HB 1714,lower,2014-01-23 18:01:07,HIB00011850,2014 Regular Session,HI,,RELATING TO CLIMATE CHANGE.,bill,2014-06-14 05:36:04
136,S 1019,upper,2014-02-19 03:59:50,SCB00006718,2013-2014,SC,Resolutions,"A SENATE RESOLUTION TO COMMEND AND SUPPORT THE DEMOCRATIZATION EFFORTS OF TAIWAN AND THE NATION'S MEANINGFUL PARTICIPATION IN THE WORLD HEALTH ORGANIZATION, THE INTERNATIONAL CIVIL AVIATION ORGANIZATION, THE UNITED NATIONS FRAMEWORK CONVENTION ON CLIMATE CHANGE, AND OTHER INTERNATIONAL ORGANIZATIONS, AND TO EXTEND MOST SINCERE BEST WISHES FOR CONTINUED COOPERATION AND SUCCESS.",resolution,2014-05-29 03:47:23
137,LR 38,upper,2013-01-23 00:26:05,NEB00002457,103,NE,,Endorse Taiwan's participation in the International Civil Aviation Organization as an observer and support efforts to grant Taiwan official observer status at the United National Framework Convention on Climate Change,resolution,2014-09-23 23:49:07
138,AJR 104,lower,2014-05-07 21:29:51,WIB00005282,2013 Regular Session,WI,,"reaffirming Wisconsin's commitment to its relationship with Taiwan, supporting Taiwan's efforts to secure entry to the Trans-Pacific Partnership, the signing of a bilateral investment agreement between Taiwan and the United States, and supporting Taiwan's participation in the United Nations Framework Convention on Climate Change.",joint resolution,2014-05-07 21:29:51
139,SJR 76,upper,2014-05-07 21:37:16,WIB00005414,2013 Regular Session,WI,,"reaffirming Wisconsin's commitment to its relationship with Taiwan, supporting Taiwan's efforts to secure entry to the Trans-Pacific Partnership, the signing of a bilateral investment agreement between Taiwan and the United States, and supporting Taiwan's participation in the United Nations Framework Convention on Climate Change.",joint resolution,2014-05-07 21:37:16
140,HB 7655,lower,2014-02-28 00:54:58,RIB00005904,2014,RI,Environmental; Health,"AN ACT RELATING TO HEALTH AND SAFETY -- GEOENGINEERING (Defines geoengineering as attempts to effect climate change and requires DEM approval, after public hearings, for such efforts.)",bill,2014-04-04 00:00:35
141,HCR 195,lower,2014-03-11 05:42:58,HIB00016557,2014 Regular Session,HI,,"RECOGNIZING THE TEN YEAR ANNIVERSARY OF THE INDIAN OCEAN EARTHQUAKE AND TSUNAMI, AND SUPPORTING PREPAREDNESS ACTIVITIES, INTERNATIONAL CLIMATE CHANGE RESILIENCE FORUMS, AND OTHER ASIA-PACIFIC RESILIENCE EFFORTS.",concurrent resolution,2014-03-13 05:42:18
